,whole_market,000016.SH,000300.SH,000510.SH,000688.SH,000852.SH,000905.SH,399006.SZ,932000.CSI
2010-09-01,-9.096363387264526,-8.472630211607006,-8.654678073805137,-8.083017114400848,,-7.348546861272985,-9.7978114924695,,
2010-10-01,-9.273936395245363,-8.758500874923646,-8.92728300703799,-8.178477489951167,,-7.442373556354446,-9.937913865192405,,
2010-11-01,-9.35223111925436,-8.9359315320645,-9.02801241927883,-8.222046011751402,,-7.486804265095013,-10.09413462265435,0.05261171333045469,
2010-12-01,-9.379505933659638,-9.157203527218675,-9.063746380231807,-8.095733687116335,,-7.470058190566312,-10.224419359357283,0.1331951205451092,
2011-01-01,-9.468303051617234,-9.394804849048729,-9.366069034435291,-8.14298642068269,,-7.4282251553692245,-10.319768641648054,0.2411053694931123,
2011-02-01,-9.661333376101192,-9.670423269860436,-9.71505705981867,-8.417648105412018,,-7.402862408024216,-10.56158407669183,0.1986442412125464,
2011-03-01,-9.637511782240496,-9.355229662233722,-9.54304614841676,-8.414110736601323,,-7.560377208911062,-10.811129796793315,0.2578924375257285,
2011-04-01,-9.865159510577966,-9.780542914909692,-9.810072978391757,-8.89600913078393,,-7.610660208556651,-10.97220698557101,0.2776047327577657,
2011-05-01,-9.89693052937904,-9.750964540889338,-9.681294456264421,-8.828537396740886,,-7.6854487997834,-10.986683910233028,-0.04958449435064749,
2011-06-01,-10.02020611010402,-10.024255238042992,-9.696843504102278,-8.789246363636572,,-7.854513376222118,-11.228697054347712,-0.12861154625993887,
2011-07-01,-10.021116160788429,-10.01198714386707,-9.525362047992582,-8.728317898901324,,-7.903174049505822,-11.263830176705898,-0.29495606974536176,
2011-08-01,-10.133364502568382,-10.340717538336678,-10.054539588935329,-9.171726234269588,,-7.6752586341197295,-11.065581417580464,-0.0932940241559865,
2011-09-01,-10.20868963168438,-10.032920756756193,-10.19839077303147,-9.241432044724062,,-7.775719962823483,-11.217987103811101,-0.38661757094745497,
2011-10-01,-10.044873404154938,-9.946556223076495,-10.278294746216387,-9.177664113176593,,-7.507221654082161,-10.913672146138161,-0.04676196422732021,
2011-11-01,-10.170887683911237,-9.85896154561869,-10.339300150240335,-9.276119170607647,,-7.724022603739857,-11.125426736857495,-0.30242631839088724,
2011-12-01,-10.252214586498459,-9.482202344326197,-10.416216941787688,-9.569362368344821,,-7.920766354770863,-11.36842033662668,-0.3572495951219901,
2012-01-01,-10.217236212142552,-9.40742959235828,-10.193763652861229,-9.588261842451121,,-7.888749376251774,-11.390183745870463,-0.4359594850499291,
2012-02-01,-9.997520671111781,-9.112695748735991,-9.869566474667414,-9.204663519392675,,-7.735855501645371,-11.375234120171779,-0.28803908404494394,
2012-03-01,-9.892715391319248,-8.97915349867335,-9.74666971759241,-9.369279404783367,,-7.489567353939654,-11.313227122088712,-0.0593256728254834,
2012-04-01,-9.810311866472116,-8.673953315540736,-9.527531525991336,-9.105587336251054,,-7.5770088088871566,-11.485338941199593,-0.09338169295030482,
2012-05-01,-9.71888518052303,-8.603512641634593,-9.490808686142618,-9.01876106329323,,-7.48992137608958,-11.353911678645716,0.04267394068007338,
2012-06-01,-9.69138596305505,-8.494360882713037,-9.467340780419992,-8.959308894788036,,-7.596109089749886,-11.254749620969047,0.0226230683222153,
2012-07-01,-9.62431818075642,-8.289267310117637,-9.267007731966304,-8.831666992256173,,-7.587207709586312,-11.562007707649434,0.19031794504985583,
2012-08-01,-9.654979573602525,-8.187828781825946,-9.342777732952193,-9.006543388190549,,-7.705514303999361,-11.53086351606136,0.2427198594267826,
2012-09-01,-9.677133120519672,-8.405531447305286,-9.545720200062393,-9.215422236400295,,-7.728259107231929,-11.468797835768331,0.7000016816627258,
2012-10-01,-9.73585257644518,-8.408349801439705,-9.532435701472222,-9.268740055572774,,-7.8480427609810315,-11.697144191431384,0.73866663023856,
2012-11-01,-9.682012296012683,-8.687945859126556,-9.596690466204269,-9.086198172550471,,-7.668602691285726,-11.515151239480433,0.8615842305838857,
2012-12-01,-9.828226422021906,-8.921269441134292,-9.666126081303196,-9.307412899087716,,-7.7477561269757445,-11.833894535370147,0.9061701297521843,
2013-01-01,-10.006919659373626,-8.994111794885411,-9.752359374619237,-9.554825242717175,,-8.066296273188142,-12.108042819558412,0.8331871267391489,
2013-02-01,-10.154087151217485,-8.809341946154365,-9.605807349833952,-9.441691863619797,,-8.386908363106757,-12.581221116282528,0.29951730970500856,
2013-03-01,-10.410297619816195,-9.130412130651719,-9.899049000664721,-9.704684559065598,,-8.602175887203583,-12.639162348182197,-0.08723221511683249,
2013-04-01,-10.35202286480107,-9.079008140364545,-9.930509980448145,-9.755485820792847,,-8.71648860156519,-12.323504093896549,0.0919290262733829,
2013-05-01,-10.530468990954915,-9.299134939469024,-10.09231857568845,-9.895346454134772,,-8.824781849352469,-12.597897223060043,-0.07426532601220517,
2013-06-01,-10.659120324513557,-9.56735687586294,-10.238148061338725,-10.108310070532003,,-8.808864913385019,-12.54728572602744,-0.2856867219226895,
2013-07-01,-10.731155205988776,-9.74934655052888,-10.38539051340105,-10.193810237389402,,-8.78627756678091,-12.574667085242616,-0.2983697045772693,
2013-08-01,-10.974189727204605,-9.885829904790349,-10.606317432969554,-10.453644926367764,,-9.077673342977445,-12.740444848956878,-0.6821583291531186,
2013-09-01,-10.919803690394419,-9.892181296480794,-10.509126913952054,-10.39530927635864,,-8.98054144965947,-12.752416735296157,-0.5901768926068776,
2013-10-01,-11.024463194122891,-10.185168497487327,-10.508372467523182,-10.341081019119352,,-9.000954288263548,-12.767473359139494,-0.944659955191919,
2013-11-01,-10.985268793804583,-10.277135542544267,-10.500303312940009,-10.390014428106104,,-8.77217224921122,-12.62330446496967,-0.9496131870437046,
2013-12-01,-11.204774760122064,-10.434256757260002,-10.706970570975788,-10.52687713424462,,-9.164494739115566,-12.681241005964209,-1.3157387751596814,
2014-01-01,-11.413394189861261,-10.621984821002302,-10.807267573960624,-10.663290623112506,,-9.239672639763217,-12.904248653825814,-1.8448312494905867,
2014-02-01,-11.444288869309341,-10.388169981707863,-10.666128643760853,-10.630795670712514,,-9.579445397782248,-12.995877018770107,-2.006246925109945,
2014-03-01,-11.558510085587884,-10.457985742385953,-10.753108419306317,-10.656639534969289,,-9.849376633064807,-13.05247644104452,-2.1824041647439008,
2014-04-01,-11.48798725939584,-10.517628056762478,-10.921915592692343,-10.641391198200164,,-9.744074320336376,-12.838431203904216,-1.8654136064669469,
2014-05-01,-11.603671743189098,-10.522245015268663,-10.983153611015839,-10.750807334203627,,-9.943208846175704,-13.042477775576838,-1.9810682988814012,
2014-06-01,-11.694521079260877,-10.461390212131617,-11.097329585022997,-10.654409115509793,,-10.18619640037143,-13.181337345541817,-2.2610894307442213,-0.01715414430264806
2014-07-01,-11.509448745501269,-10.278435201306213,-11.040527116826187,-10.338564580890129,,-10.019425453481043,-12.955415391183653,-2.0693509084017623,0.13831875478171893
2014-08-01,-11.533747989702618,-10.203910381017325,-10.863778492959948,-10.381048424713187,,-10.079087791722156,-13.272769159261085,-1.9448894590737993,0.011989102030785292
2014-09-01,-11.796195574571891,-10.707567605271489,-11.500067606541647,-10.68264870255897,,-10.220115986447041,-13.557076490286951,-1.7919886263159,-0.1111626833796287
2014-10-01,-11.69161770851378,-10.513257244104159,-11.55962847582418,-10.694006252301186,,-9.933559308663588,-13.742759727601536,-1.5853877254160462,0.19001609551584353
2014-11-01,-11.78658662998313,-9.913713610955398,-11.22232244029821,-10.910082326993214,,-10.301209934626474,-14.130542463952061,-1.8086213687571273,-0.21687294309782335
2014-12-01,-11.90566463159873,-10.006671315478584,-11.24143472295257,-10.935301747794599,,-10.453378090852796,-14.154760645079458,-1.9989081760080667,-0.5464564018234295
2015-01-01,-12.203776159382715,-10.284095862109783,-11.636897247449996,-11.221017775551552,,-10.859078822002122,-14.220449267015661,-2.3493522930031534,-0.8528005273451311
2015-02-01,-12.225377872067122,-10.616102746036674,-12.061888314783685,-11.163522008365081,,-10.906608465673717,-14.245944139614693,-2.206981902148601,-0.37385620664580427
2015-03-01,-12.380477864033079,-10.754888918941306,-12.011469845821415,-11.229657931121213,,-10.997861655448762,-14.586260415947123,-2.579756719654821,-0.500708240095304
2015-04-01,-12.411189512244507,-10.927692508332756,-11.92548672418154,-11.054718443082477,,-11.11108279444353,-14.870052265549786,-2.4444359058995873,-0.5421166230202681
2015-05-01,-12.352976594673628,-10.88932378825255,-11.97523606344065,-11.076138345760384,,-11.00999770586214,-14.740530970184246,-2.387430811744479,-0.3894371562693452
2015-06-01,-12.139774957452916,-10.883752572761901,-11.848546639146846,-10.915031295815528,,-10.67877019655252,-14.369840554887528,-2.2526348660497164,-0.02710725575477807
2015-07-01,-11.982166999310202,-11.251867081598167,-11.867870783526683,-10.802216614290483,,-10.293765981816705,-14.061088516492138,-1.9829703909557193,0.38735169471007114
2015-08-01,-11.790383590524767,-10.905131449809328,-11.532013033841018,-10.561524007776814,,-10.183935864394803,-13.941222719402214,-1.921947211571656,0.5158304743240565
2015-09-01,-11.868267870494943,-11.392589982994188,-11.83244120420632,-10.787579887637184,,-10.02900625798616,-13.879332553870563,-1.7715965165459884,0.617412630977393
2015-10-01,-11.895224320766118,-11.100077316943041,-11.738309452638587,-10.778591657639542,,-10.21123047070213,-13.985678174005562,-1.901428585779635,0.4514867335472634
2015-11-01,-11.798119881800192,-10.861930132966025,-11.536719305104349,-10.6052098867105,,-10.197509358297767,-13.925266384201286,-1.8565131713319813,0.3990503872121631
