交易日期,000852.SH
2006/8/30,0.01023881663813937
2006/8/31,0.005334826628122982
2006/9/1,-0.019365998
2006/9/4,0.024501295340751288
2006/9/5,0.0012648434768625753
2006/9/6,0.007843409822009739
2006/9/7,-0.015846259
2006/9/8,0.002657296587019327
2006/9/11,0.00838949205670258
2006/9/12,0.005212523308504692
2006/9/13,-0.012593344
2006/9/14,0.0018354104980899085
2006/9/15,0.009636394370207451
2006/9/18,0.015348342863664011
2006/9/19,0.0022367312394933215
2006/9/20,0.00485562551949875
2006/9/21,0.0035597740314291973
2006/9/22,-0.009613026
2006/9/25,0.0030456876335562028
2006/9/26,0.00044881679617751643
2006/9/27,0.00675132397047445
2006/9/28,0.005898834115955238
2006/9/29,0.008680795363665164
2006/10/9,0.01566123459086743
2006/10/10,0.004210708364615415
