date,whole_market,000016.SH,000300.SH,000510.SH,000688.SH,000852.SH,000905.SH,399006.SZ,932000.CSI
2011-05-01,-2.10583770864507,-3.6722710640450695,0.04087528523534123,0.6700287429039964,,-1.5361584931342098,0.009085499754477859,1.0600202403111432,
2011-06-01,-1.9296502256776822,-3.392242107790942,0.3855374670022923,1.0328728813262298,,-1.5240342913722855,-0.05442340276894667,1.180994562433658,
2011-07-01,-1.9818531118904,-3.2171426724732464,0.4758361107189314,1.103513050316131,,-1.718664801345811,-0.29690678314274876,0.968852887480443,
2011-08-01,-1.7453875358316238,-3.0445964860374755,0.7864582990103135,1.4371055720558998,,-1.4656909799354045,-0.04007155990164252,1.061076402714665,
2011-09-01,-2.051448406685634,-3.494975421145897,0.31330499339407203,0.9666358856069809,,-1.6895260658698792,-0.429076806748974,1.2315534375459911,
2011-10-01,-2.100161051886583,-3.456163371579113,0.265127020302173,1.0423725803557,,-1.9840294551219506,-0.6398894687522901,1.3782228463720834,
2011-11-01,-2.095219710008643,-3.5154844729594728,0.22510309355939076,0.9694569156750487,,-2.07530542590252,-0.6260598759487318,1.6575779684205256,
2011-12-01,-2.0675398933443407,-3.644205506175827,0.19297961346780373,1.0810680180103247,,-1.9554279022081058,-0.6020824381371996,1.729035317873059,
2012-01-01,-2.095514409341629,-3.862992241593496,-0.0909325230652695,1.0280266408121,,-1.8689909093319146,-0.45980472567348973,1.888213765698395,
2012-02-01,-2.208368238117821,-3.8480400122398914,-0.034133252228307806,0.8913789803115408,,-2.0993128331987116,-0.5863108967234527,1.6328150482679955,
2012-03-01,-2.2407468113331532,-3.8828916918742507,-0.10303411118059545,0.8688516906234297,,-2.0210786967255534,-0.7667950594805615,1.6670734635347106,
2012-04-01,-2.278028345921687,-3.5441627987887045,0.1510029568837658,0.7801192996350248,,-2.485133650286801,-1.0639773705577973,1.7005879504804908,
2012-05-01,-2.1764992636338363,-3.670292534387201,0.19628694534190985,0.9974617897723075,,-2.2548605340447567,-0.8955879884736933,1.774603202884516,
2012-06-01,-2.3766977999941235,-3.810228091510717,-0.06963990589117511,0.7021452130886375,,-2.5654171763158753,-1.0783497738231562,1.7679093973836457,
2012-07-01,-2.4685968312932864,-3.784911136862107,-0.1655898132449331,0.6349168198047879,,-2.7862284912392226,-1.0408595934537124,1.5376976901315687,
2012-08-01,-2.5321565902398806,-3.9697185629028704,-0.32043743707928574,0.7428664832076703,,-2.890207318407552,-1.0640306257179888,1.5151943823568441,
2012-09-01,-3.1100008667275167,-4.460203953011406,-0.9832092412026633,0.06816817551644816,,-3.408110505818795,-1.7661381492468062,1.0960949362942214,
2012-10-01,-3.0566347091755026,-4.432223804049185,-0.8308076452317028,0.1905455882940542,,-3.3720156982379725,-1.8082914399801244,1.1195912070480132,
2012-11-01,-3.136043034083259,-4.4190190260368265,-0.914913987662061,-0.07577327158524544,,-3.331928258819365,-1.9892313106479487,1.1212141131479938,
2012-12-01,-3.3825978439651605,-4.711275522612042,-1.2878143173248424,-0.4583998921575321,,-3.519835767883522,-2.218161542848221,1.1065064419312967,
2013-01-01,-3.6385228598399184,-4.847671617964752,-1.517482672157603,-0.8172684179973899,,-3.777552902549612,-2.3885303827997246,0.7239752973256719,
2013-02-01,-3.70890446377952,-4.645440696927839,-1.224430903832602,-0.5739637527695011,,-4.22458277639133,-2.811823427591516,0.4334212377317673,
2013-03-01,-3.8917474127222835,-4.935990477583307,-1.3462817102052849,-0.6776449040838672,,-4.4313851797690305,-2.9322197624870703,0.17964402069095925,
2013-04-01,-4.10982847889098,-5.303444841472976,-1.6829273585803666,-1.0308989669404927,,-4.494236757649892,-3.193676370638893,0.2528198848328416,
2013-05-01,-4.092010145000521,-5.183172611983684,-1.5717675346727256,-0.8521100648132462,,-4.44647568230897,-3.1747735243145048,-0.11715498901389487,
2013-06-01,-4.019604555544997,-5.003233751985025,-1.3173584478149039,-0.6274561223922068,,-4.337687935933396,-3.142860825373574,-0.48242378687477244,
2013-07-01,-4.195788289690616,-5.105128172050454,-1.5552842669133742,-0.8068714379725679,,-4.5111749333078865,-3.342904616246398,-0.6467598487569128,
2013-08-01,-4.290248240908468,-5.364197168874984,-1.7865034523708934,-0.8407874384826082,,-4.515793174138704,-3.5206197718410808,-0.5069819768464391,
2013-09-01,-4.20923894251706,-5.525200522174435,-1.7192713183238082,-0.6812102019129966,,-4.289022741002793,-3.2137290054211065,-0.6203934033711195,
2013-10-01,-4.291239052934757,-5.472533715271483,-2.0525615974611977,-0.746572852646069,,-4.458043391149602,-3.0093299772842794,-0.801786320899808,
2013-11-01,-4.480641504970182,-5.846105263224623,-2.2246000241392174,-0.6732558152662638,,-4.671338695902838,-3.1323702308059134,-1.1295725375861352,
2013-12-01,-4.592182909924197,-5.990831715268464,-2.267281863586826,-0.5431984597482689,,-4.69307576515455,-3.217066528338238,-1.6350366645527292,
2014-01-01,-4.648598067365097,-5.762989772570093,-2.410042118264123,-0.7388631785707361,,-4.7905058651384405,-3.3385409070986682,-1.6440400996524216,
2014-02-01,-4.537395239800031,-5.717622446802237,-2.1980480015749024,-0.5573236429723781,,-4.689879363744582,-3.128055265782607,-1.7268362550273777,
2014-03-01,-4.624676507061722,-5.629867876022778,-2.2419130113417753,-0.6366504903076665,,-4.6988387900909405,-3.30379295025822,-2.030389461452857,
2014-04-01,-4.541054704693676,-5.4530439734084455,-1.8768512546604794,-0.31122854243995873,,-4.983410477280673,-3.390404606320064,-2.0247829111563385,
2014-05-01,-4.667602252386768,-5.757680258979747,-2.156247144506125,-0.5585815800319692,,-4.956625307315722,-3.591479078263498,-1.778393682327453,
2014-06-01,-4.564104300902363,-5.69329046904218,-2.178136897574136,-0.5891151093988651,,-4.79792205878817,-3.4886733091880266,-1.4308814985267089,
2014-07-01,-4.352387614591502,-5.228208848445362,-1.6966627320413512,-0.18582164612129148,,-4.7099291652653585,-3.4786290996487326,-1.6084677331308281,
2014-08-01,-4.383292094969882,-5.2479122614699785,-1.6355215822534899,-0.20221897464289823,,-4.877780303320966,-3.535768006216097,-1.5939449790197684,
2014-09-01,-4.505276584577982,-5.399801562580777,-1.7903414024455087,-0.31756314039127803,,-4.946573482665326,-3.7145352636222895,-1.6562381928666203,
2014-10-01,-4.594281671812022,-5.424529158005646,-1.942214386763723,-0.5389373685754202,,-4.996109457039339,-3.7897778693162256,-1.667515328275686,
2014-11-01,-4.593923375077771,-5.289619543807378,-1.7666168172624133,-0.38901615354944785,,-4.959358828212238,-3.9029581600885916,-1.7416158332364107,-0.30739015467980146
2014-12-01,-4.525733566483837,-5.185063043302635,-1.6948029141646133,-0.30033119941926123,,-4.859923263763505,-3.7798021696047757,-1.45390364660119,-0.6054205938227667
2015-01-01,-4.74992155433629,-5.498582319570334,-2.1262290668136803,-0.7027406482832568,,-4.843931959066814,-4.089243689605039,-1.607138427092466,-0.5806966352143255
2015-02-01,-4.604269700712449,-5.506188513232064,-1.909620437223502,-0.5709815209577054,,-4.43676763224215,-3.8837577320722896,-1.9285739632890833,-0.1931099712622349
2015-03-01,-4.623874722910786,-5.565194296282385,-1.8564551810607033,-0.36334394685732946,,-4.579222642389247,-3.952562097564356,-1.9077502417364123,-0.34170651977695365
2015-04-01,-4.809919924788163,-5.90466521215938,-2.1085397237264565,-0.4212878211222164,,-4.685668143819535,-4.394462373715953,-1.8544908919212244,-0.4994371723442628
2015-05-01,-4.841388790466318,-6.055175958582429,-1.9902216003552895,-0.3877138577868593,,-4.697471531868118,-4.349195354369575,-2.1270266514962834,-0.48202844409756046
2015-06-01,-4.73780559366038,-6.508553607446732,-2.207018201649233,-0.4430186605450538,,-4.282025219445649,-3.962889587969679,-1.8723308222478545,-0.08791492161034475
2015-07-01,-4.501982204174765,-6.429055075018043,-2.0071508300141603,-0.21245855633012023,,-3.8378254554683244,-3.712439033810445,-1.741757787946349,0.22769944407219966
2015-08-01,-4.449440737746893,-6.625897485951744,-1.9570273617295109,-0.06496285157905932,,-3.8400101183104605,-3.428695811996302,-1.7126572195162486,0.2840538195631882
2015-09-01,-4.316247721265925,-6.323965222149598,-1.6041207501727675,0.15891728096326424,,-3.6395596570012683,-3.4866742957779686,-1.8107565489960222,0.29331327898099746
2015-10-01,-4.200932100525196,-6.06767332993064,-1.249582768016373,0.4743731593835802,,-3.455737039532784,-3.32563343381324,-2.069719407661578,0.08833625060277756
2015-11-01,-4.323284233853488,-6.152136127953284,-1.7096237061742503,0.05412084918507831,,-3.4976810593523866,-3.3809131535732053,-1.9875322762643028,0.21166397186604752
2015-12-01,-4.602873245048349,-6.345694866168195,-2.0569097577757356,-0.1944007526441522,,-3.8700010430928757,-3.7077216736730993,-2.3356787264002983,0.09118223912402378
2016-01-01,-4.6723138991817095,-6.371113048526788,-2.09121832935208,-0.24712253458073102,,-3.9954554132661153,-3.9095158963106864,-2.5154368419532105,0.22455290442575837
2016-02-01,-4.7284385026567985,-6.433935277054836,-2.1773478111909563,-0.3463269328062387,,-3.9942361459686913,-3.959358504085961,-2.5676381275548064,0.18066141477201178
2016-03-01,-4.952492093604412,-6.509580829909259,-2.2648441412933247,-0.4326243329257466,,-4.37344292849391,-4.275535145311195,-2.8079403265693674,-0.20258881601996412
2016-04-01,-5.140365933489174,-6.626956511130983,-2.4159770505254783,-0.6821669037007628,,-4.538376199442102,-4.617863939046132,-2.9177257069744607,-0.3826070888961823
2016-05-01,-5.272462556803675,-6.696227247698582,-2.6149877734835716,-0.9115093942929461,,-4.650287761380854,-4.811963620146437,-3.1533914429042613,-0.26798252301095826
2016-06-01,-5.3507361390223345,-6.74876078226109,-2.7317212457777234,-1.0361016251675592,,-4.790945030442565,-4.805130157200303,-3.216561240492706,-0.32504475710627795
2016-07-01,-5.369481229455516,-6.808766160361512,-2.6881703895636635,-1.0624642733982665,,-4.791320856613637,-5.011863431497771,-2.9833305182853325,-0.43956484176031674
2016-08-01,-5.574245622893415,-7.133606582276148,-2.89861814286252,-1.206916272237832,,-5.016188033990731,-5.180154598067059,-3.1697907746398957,-0.6135568214716106
2016-09-01,-5.54920843030393,-7.173330539173049,-2.7139007427992303,-1.26472712946558,,-4.8289225661157005,-5.160899768227193,-3.283139487538083,-0.6186506441005656
2016-10-01,-5.740957084873639,-7.453295781517962,-2.936005052553229,-1.5398201280987467,,-4.943226379013599,-5.208013205585004,-3.3965484378091353,-0.9089024748296846
2016-11-01,-5.580660497303127,-7.359352266999628,-2.6315977081454838,-1.3970676019119708,,-4.6633122471627715,-5.126598197571994,-3.500292547856629,-0.5855147767653008
2016-12-01,-5.457259134446316,-7.360839651052374,-2.8022900009540765,-1.467871936092264,,-4.326545710446301,-4.814494954464554,-3.2242247417346523,-0.4036588116718818
2017-01-01,-5.338024807105626,-7.560634869651886,-2.9460032493157353,-1.59083005813318,,-3.7957945187802697,-4.61833512099463,-2.7355737801146742,-0.31811391804089506
2017-02-01,-5.083571340948883,-7.306210505289466,-3.029228254732341,-1.6518075098702265,,-3.5825699255489827,-4.132510755462719,-2.2229876491890055,0.14120334815866897
2017-03-01,-5.11407882700114,-7.45034823956611,-3.2002845587292894,-1.816738546738565,,-3.404196791903722,-3.993364363441444,-2.2821129459904723,0.14938179206973404
2017-04-01,-5.120791859069086,-7.63513053112396,-3.3048035979577177,-1.9668354431301354,,-3.453914039191962,-3.86331877308346,-1.9990803348981667,0.1784278406099083
2017-05-01,-4.98384090533296,-8.107719785060063,-3.3521876123526284,-1.7278674892201344,,-3.0530840432556006,-3.6104166053163538,-1.6783975137553302,0.4436748463374923
2017-06-01,-5.088242211053358,-8.08937930825676,-3.40782394124687,-1.811774581695229,,-3.45417865797413,-4.0275601967518915,-1.2053507553053775,0.17926009856485686
2017-07-01,-5.01739001007613,-8.499495397574305,-3.4785457539796494,-1.7113821103945182,,-3.343587554950252,-3.5908362700447807,-1.0820989689897318,0.38510412010843287
2017-08-01,-5.214071175501132,-8.884860483875174,-3.8186061310487016,-1.949114776793223,,-3.4170552008292763,-3.839906407593781,-1.0798832314726776,0.29181613781301374
2017-09-01,-5.243991770700226,-8.90203224170024,-3.7689123807075045,-2.1150645121229537,,-3.272063544102511,-4.13113446642728,-1.108512663197227,0.39066554806424264
2017-10-01,-5.351012237968741,-9.281390584521382,-4.129901369981855,-2.3005536322027473,,-3.0363569120811618,-4.119257764332477,-1.1140676693980776,0.3253304014446211
2017-11-01,-5.555510249445559,-9.47858479801477,-4.459437386468053,-2.7842465071502196,,-3.1271147597150732,-4.3113276746612055,-1.2950302183415847,0.3680577329400941
