Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),unnamed_12,unnamed_13
399006.SZ,20100906,1,1036.7,1039.46,1043.24,1007.43,1010.76,-25.94,-2.5021,25469.62,9852694.8847,33361,20100906180000000
399006.SZ,20100907,1,1010.76,1010.12,1022.62,1007.64,1022.62,11.86,1.1732,16860.02,6571730.3234,33361,20100907180000000
399006.SZ,20100908,1,1022.62,1020.23,1027.64,1016.84,1026.33,3.7,0.3623,18016.44,6577840.8276,33361,20100908180000000
399006.SZ,20100909,1,1026.33,1029.11,1040.67,1019.69,1021.83,-4.5,-0.438,23652.84,8209269.7173,33361,20100909180000000
399006.SZ,20100910,1,1021.83,1021.87,1037.51,1016.19,1034.94,13.11,1.2827,22109.01,7388107.4367,33361,20100910180000000
399006.SZ,20100913,1,1034.94,1034.39,1045.39,1033.25,1042.48,7.54,0.7288,20102.92,6899539.0982,33361,20100913180000000
399006.SZ,20100914,1,1042.48,1044.3,1046.13,1028.77,1031.22,-11.26,-1.0804,19408.41,6968657.9599,33361,20100914180000000
399006.SZ,20100915,1,1031.22,1029.52,1030.02,987.05,990.1,-41.12,-3.9871,22164.64,7937956.4627,33361,20100915180000000
399006.SZ,20100916,1,990.1,989.49,994.95,964.53,972.6,-17.5,-1.7676,17179.24,5902965.8732,33361,20100916180000000
399006.SZ,20100917,1,972.6,976.07,981.73,967.56,972.23,-0.37,-0.0384,14500.3,5395687.663,33361,20100917180000000
399006.SZ,20100920,1,972.23,972.44,975.26,947.41,949.2,-23.03,-2.3692,12926.81,4638370.6922,33361,20100920180000000
399006.SZ,20100921,1,949.2,952.07,953.83,930.25,934.46,-14.73,-1.5523,11071.87,3685261.1445,33361,20100921180000000
399006.SZ,20100927,1,934.46,936.21,951.84,930.86,950.67,16.21,1.7347,10794.37,3608369.9172,33361,20100927180000000
399006.SZ,20100928,1,950.67,949.63,949.89,939.63,942.05,-8.62,-0.9069,16661.73,6756897.3583,33361,20100928180000000
399006.SZ,20100929,1,942.05,941.27,944.17,924.42,926.76,-15.29,-1.6232,12302.42,4512222.7231,33361,20100929180000000
399006.SZ,20100930,1,926.76,923.82,942.54,921.36,942.54,15.78,1.7028,10992.09,3967678.3603,33361,20100930180000000
399006.SZ,20101008,1,942.54,946.47,963.18,945.62,959.86,17.32,1.838,15111.88,5272913.5196,33361,20101008180000000
399006.SZ,20101011,1,959.86,960.91,961.17,941.91,947.11,-12.75,-1.3286,18524.7,6479456.3387,33361,20101011180000000
399006.SZ,20101012,1,947.11,946.63,959.98,945.01,951.79,4.68,0.4941,15108.95,5054330.3306,33361,20101012180000000
399006.SZ,20101013,1,951.79,951.33,962.74,940.64,962.74,10.95,1.1503,22094.85,7669941.9039,33361,20101013180000000
399006.SZ,20101014,1,962.74,963.29,975.91,956.86,958.5,-4.24,-0.4407,19941.36,6996953.5893,33361,20101014180000000
399006.SZ,20101015,1,958.5,954.12,957.77,937.12,944.25,-14.24,-1.4858,18847.87,6403269.9773,33361,20101015180000000
399006.SZ,20101018,1,944.25,941.87,941.87,913.82,932.36,-11.9,-1.2597,17873.35,5975260.0527,33361,20101018180000000
399006.SZ,20101019,1,932.36,932.83,1005.59,932.32,995.92,63.56,6.8174,33338.09,11780277.4471,33361,20101019180000000
